Name,Count
Dota 2,9682
Team Fortress 2,4646
Counter-Strike Global Offensive,2789
Unturned,2632
Left 4 Dead 2,1752
Counter-Strike Source,1693
Counter-Strike,1424
Garry's Mod,1397
The Elder Scrolls V Skyrim,1394
Warframe,1271
Half-Life 2 Lost Coast,1158
Sid Meier's Civilization V,1150
Robocraft,1096
Half-Life 2 Deathmatch,1021
Portal,1005
Portal 2,997
Half-Life 2,995
Heroes & Generals,993
Terraria,956
Counter-Strike Condition Zero,904
War Thunder,893
PAYDAY 2,817
Borderlands 2,815
Counter-Strike Condition Zero Deleted Scenes,773
No More Room in Hell,668
Call of Duty Modern Warfare 2,640
Trove,637
Call of Duty Modern Warfare 2 - Multiplayer,634
Day of Defeat,628
Fallout New Vegas,624
PlanetSide 2,600
Counter-Strike Nexon Zombies,579
Alien Swarm,578
Day of Defeat Source,575
Deathmatch Classic,556
Ricochet,545
Half-Life 2 Episode One,542
Grand Theft Auto V,542
Loadout,535
Path of Exile,530
Nosgoth,525
Dirty Bomb,518
BioShock Infinite,508
Grand Theft Auto IV,507
Half-Life 2 Episode Two,506
Half-Life,504
Warface,496
DayZ,495
Metro 2033,487
Left 4 Dead,485
Call of Duty Black Ops,481
Dead Island Epidemic,480
PAYDAY The Heist,479
Empire Total War,477
Grand Theft Auto San Andreas,469
Tomb Raider,461
Saints Row The Third,456
Call of Duty Black Ops - Multiplayer,452
Call of Duty Modern Warfare 3,450
Tom Clancy's Ghost Recon Phantoms - NA,447
Arma 2 Operation Arrowhead,439
Age of Empires II HD Edition,438
Call of Duty Modern Warfare 3 - Multiplayer,435
Magicka,434
Just Cause 2,429
Torchlight II,428
The Witcher 2 Assassins of Kings Enhanced Edition,427
Neverwinter,424
Rust,421
Sniper Elite V2,419
Arma 2,417
Chivalry Medieval Warfare,415
Dead Island,413
Marvel Heroes 2015,412
Half-Life Blue Shift,409
Half-Life Opposing Force,408
Don't Starve Together Beta,406
Killing Floor,406
APB Reloaded,400
Team Fortress Classic,392
Clicker Heroes,390
Far Cry 3,388
Tom Clancy's Ghost Recon Phantoms - EU,382
The Elder Scrolls V Skyrim - Dawnguard,378
Total War SHOGUN 2,377
theHunter,372
The Elder Scrolls V Skyrim - Hearthfire,367
BioShock,367
The Elder Scrolls V Skyrim - Dragonborn,365
AdVenture Capitalist,363
The Binding of Isaac,358
Euro Truck Simulator 2,358
Don't Starve,356
XCOM Enemy Unknown,355
Magicka Wizard Wars,353
FreeStyle2 Street Basketball,348
TERA,342
Hitman Absolution,339
Amnesia The Dark Descent,339
Insurgency,336
HAWKEN,335
Fallout 4,335
Castle Crashers,330
BLOCKADE 3D,329
Borderlands,329
Batman Arkham City GOTY,321
ARK Survival Evolved,321
Rising Storm/Red Orchestra 2 Multiplayer,320
Total War ROME II - Emperor Edition,319
Call of Duty Black Ops II - Multiplayer,319
Arma 3,318
Dishonored,318
Trine 2,316
Defiance,311
DC Universe Online,308
Mirror's Edge,308
Rocket League,306
Napoleon Total War,302
Deus Ex Human Revolution,301
Saints Row IV,294
"Warhammer 40,000 Dawn of War II",293
Batman Arkham Asylum GOTY Edition,292
Quake Live,291
GunZ 2 The Second Duel,290
The Witcher Enhanced Edition,287
FTL Faster Than Light,283
Call of Duty Black Ops II - Zombies,283
Half-Life Deathmatch Source,282
Call of Duty Black Ops II,281
Arma 2 Operation Arrowhead Beta (Obsolete),279
Super Meat Boy,278
Goat Simulator,276
H1Z1,275
Firefall,273
Realm of the Mad God,267
Starbound,266
Mafia II,266
The Forest,259
Blacklight Retribution,257
Company of Heroes (New Steam Version),255
Grand Theft Auto Episodes from Liberty City,255
Cry of Fear,254
Grand Theft Auto Vice City,253
Survarium,252
Star Wars - Battlefront II,251
BioShock 2,250
Batman Arkham Origins,249
Bastion,248
Dungeon Defenders,247
Dark Souls Prepare to Die Edition,246
RaceRoom Racing Experience ,246
Darksiders,245
Fallout 3 - Game of the Year Edition,243
Mount & Blade Warband,243
Sid Meier's Civilization V Brave New World,241
Company of Heroes,241
Killing Floor Mod Defence Alliance 2,241
Crysis 2 Maximum Edition,240
Cities Skylines,237
Toribash,237
Sid Meier's Civilization IV,237
RIFT,236
Skyrim High Resolution Texture Pack,235
The Walking Dead,233
Fistful of Frags,233
Patch testing for Chivalry,233
BattleBlock Theater,231
Battlefield Bad Company 2,231
Gotham City Impostors Free To Play,230
Orcs Must Die! 2,230
Half-Life Source,227
Natural Selection 2,227
Serious Sam HD The Second Encounter,226
The Mighty Quest For Epic Loot,225
SMITE,225
Dead Space,222
Alan Wake,218
LIMBO,217
The Expendabros,215
Grand Theft Auto III,214
Prison Architect,214
Tactical Intervention,213
Burnout Paradise The Ultimate Box,212
Space Engineers,211
Max Payne 3,211
Middle-earth Shadow of Mordor,209
Saints Row 2,209
Star Wars Knights of the Old Republic,209
The Stanley Parable,209
Football Manager 2013,208
Hotline Miami,208
Red Orchestra 2 Heroes of Stalingrad - Single Player,207
South Park The Stick of Truth,206
ORION Prelude,203
Fallout New Vegas Dead Money,202
Spiral Knights,202
Fallout New Vegas Honest Hearts,202
7 Days to Die,201
Dungeon Defenders II,199
Company of Heroes 2,199
Archeblade,198
Surgeon Simulator,192
Serious Sam 3 BFE,191
World of Guns Gun Disassembly,190
Arma 2 DayZ Mod,189
Age of Empires III Complete Collection,189
Sleeping Dogs,189
Medieval II Total War,188
Kerbal Space Program,188
Fallout New Vegas Courier's Stash,188
Rise of Incarnates,188
Sid Meier's Civilization IV Beyond the Sword,186
Besiege,185
Metro Last Light,185
Banished,180
Crusader Kings II,178
Aura Kingdom,176
Trine,175
America's Army Proving Grounds,174
Titan Quest,174
Zombie Panic Source,172
Awesomenauts,172
Dino D-Day,172
Just Cause 2 Multiplayer Mod,172
Audiosurf,171
Darksiders II,171
Mark of the Ninja,171
Torchlight,170
"Warhammer 40,000 Dawn of War II  Retribution",170
Gear Up,170
Company of Heroes Opposing Fronts,169
Fallen Earth,169
F.E.A.R. 3,169
Happy Wars,169
Rome Total War,168
Magic Duels,168
Sid Meier's Civilization IV Warlords,168
Sid Meier's Civilization IV Colonization,167
Thief,167
The Elder Scrolls IV Oblivion ,167
Outlast,166
The Witcher 3 Wild Hunt,166
"Papers, Please",166
Mass Effect 2,166
Star Conflict,166
Mass Effect,165
Scribblenauts Unlimited,165
Dying Light,165
Free to Play,164
The Binding of Isaac Rebirth,164
L.A. Noire,164
Company of Heroes Tales of Valor,162
Red Faction Armageddon,162
Arma 3 Zeus,161
Call of Duty Ghosts,160
Risk of Rain,160
Tropico 4,160
Call of Duty Ghosts - Multiplayer,160
sZone-Online,160
Monaco,160
Football Manager 2012,159
Borderlands The Pre-Sequel,158
Football Manager 2014,158
Aliens vs. Predator,157
Brawlhalla,156
Football Manager 2015,156
Medal of Honor(TM) Single Player,156
Call of Duty World at War,155
RAGE,153
Medal of Honor(TM) Multiplayer,153
Orcs Must Die!,153
Stronghold Kingdoms,152
F.E.A.R. 2 Project Origin,152
"Warhammer 40,000 Dawn of War II - Chaos Rising",151
Deus Ex Human Revolution - Director's Cut,151
Guns of Icarus Online,151
Star Trek Online,149
STAR WARS Knights of the Old Republic II The Sith Lords,148
The Lord of the Rings War in the North,148
DARK SOULS II,148
Tribes Ascend,147
Dead Island Riptide,147
H1Z1 Test Server,147
Planetary Annihilation,147
The Lord of the Rings Online,147
Hitman Sniper Challenge,146
Ace of Spades,146
Far Cry 2,146
Sanctum 2,145
Starbound - Unstable,144
War of the Roses,143
Double Action Boogaloo,143
Game Dev Tycoon,142
FINAL FANTASY VII,142
Infestation Survivor Stories,139
FEZ,139
Borderlands DLC The Zombie Island of Dr. Ned,139
Assassin's Creed II,139
Sid Meier's Civilization V Scrambled Continents Map Pack,139
Borderlands DLC The Secret Armory of General Knoxx,138
Transformice,138
Divinity Original Sin,138
Dragon Age Origins - Ultimate Edition,138
GRID 2,138
Enclave,137
Call of Duty Advanced Warfare - Multiplayer,137
State of Decay,137
Wolfenstein The New Order,137
Mortal Kombat Komplete Edition,136
Aftermath,135
Borderlands DLC Mad Moxxi's Underdome Riot,135
Spec Ops The Line,134
METAL GEAR SOLID V THE PHANTOM PAIN,134
Insurgency Modern Infantry Combat,134
Brick-Force,133
RACE 07,132
Source Filmmaker,132
WARMODE,131
How to Survive,131
Rogue Legacy,130
Far Cry 3 Blood Dragon,130
Strife,130
The Ship,128
Mitos.is The Game,128
Assassin's Creed III,128
Crysis,128
Call of Duty Advanced Warfare,128
Borderlands DLC Claptraps New Robot Revolution,128
Call of Duty 4 Modern Warfare,127
Antichamber,126
Sid Meier's Civilization Beyond Earth,126
Supreme Commander 2,125
Assassin's Creed IV Black Flag,125
Spore,125
SimCity 4 Deluxe,124
POSTAL 2,124
The Walking Dead Season Two,123
Psychonauts,123
Plants vs. Zombies Game of the Year,122
Fishing Planet,122
Dust An Elysian Tail,122
"Warhammer 40,000 Dawn of War - Game of the Year Edition",121
Tropico 3 - Steam Special Edition,121
Dizzel,121
SpeedRunners,120
Hammerwatch,119
This War of Mine,119
Worms Revolution,119
Block N Load,118
AirMech,118
DiRT 3,118
Need for Speed Hot Pursuit,118
Braid,117
Deus Ex Game of the Year Edition,117
Super Monday Night Combat,117
ArcheAge,116
Age of Chivalry,116
Star Wars Jedi Knight Jedi Academy,116
Age of Empires II HD The Forgotten,115
Worms Reloaded,115
Risen 2 - Dark Waters,115
Sniper Elite 3,115
Red Crucible Firestorm,115
Contagion,114
Anno 2070,114
Only If,113
Medal of Honor Pre-Order,113
Sniper Ghost Warrior,113
Medieval II Total War Kingdoms,113
Reus,113
Ragnarok Online 2,113
Brtal Legend,112
Endless Space,112
Red Faction Guerrilla Steam Edition,111
Sanctum,111
"Warhammer 40,000 Space Marine",111
Sakura Clicker,110
Dead Space 2,110
Arma Cold War Assault,110
Magicka Vietnam,109
Alan Wake's American Nightmare,109
Universe Sandbox,109
War Inc. Battlezone,108
Super Crate Box,108
S.K.I.L.L. - Special Force 2,107
Mount & Blade With Fire and Sword,106
The Elder Scrolls III Morrowind,106
Deadlight,106
Star Wars Empire at War Gold,105
World of Goo,105
Titan Quest Immortal Throne,105
The Ship Single Player,105
The Wolf Among Us,105
Call of Juarez Gunslinger,105
Stronghold 3,105
SpaceChem,104
Train Simulator,104
Guns and Robots,104
Brothers - A Tale of Two Sons,104
Injustice Gods Among Us Ultimate Edition,103
Emily is Away,103
Europa Universalis IV,102
Sid Meier's Civilization III Complete,102
Dungeonland,101
Metro 2033 Redux,101
Infinite Crisis,101
Star Wars Republic Commando,101
Overlord,101
The Incredible Adventures of Van Helsing,100
BIT.TRIP RUNNER,100
DiRT 3 Complete Edition,100
VVVVVV,100
Hitman Blood Money,100
DmC Devil May Cry,100
F.E.A.R.,100
DCS World,100
The Ship Tutorial,99
Kingdoms of Amalur Reckoning,99
Fractured Space,99
Anomaly Warzone Earth,99
Codename CURE,98
Everlasting Summer,98
Afterfall InSanity Extended Edition,98
To the Moon,98
Sins of a Solar Empire Rebellion,97
Killing Floor 2,97
Command and Conquer Red Alert 3 - Uprising,97
Assassin's Creed Brotherhood,97
Lara Croft and the Guardian of Light,97
Homefront,97
Tom Clancy's Splinter Cell Conviction,97
Five Nights at Freddy's,97
Overlord II,96
Moonbase Alpha,95
Football Manager 2009,95
Red Orchestra Ostfront 41-45,94
UberStrike,94
Star Wars The Force Unleashed Ultimate Sith Edition,94
Machinarium,93
Might & Magic Heroes VI,93
Wargame European Escalation,93
Legend of Grimrock,93
Far Cry 2 Fortunes Pack,93
Shadowrun Returns,93
The Darkness II,92
Gun Monkeys,92
Hitman 2 Silent Assassin,92
S.T.A.L.K.E.R. Shadow of Chernobyl,92
RollerCoaster Tycoon 3 Platinum!,91
F.E.A.R. Online,91
Gunpoint,91
Plague Inc Evolved,91
Elsword,91
Metro Last Light Redux,90
A.V.A - Alliance of Valiant Arms,90
Ultra Street Fighter IV,89
Fable - The Lost Chapters,89
Magicka Wizard's Survival Kit,89
Magic 2014 ,89
The Sims(TM) 3,88
School of Dragons How to Train Your Dragon,88
Synergy,88
Pillars of Eternity,88
Warlock - Master of the Arcane,87
Assassin's Creed,87
Defense Grid The Awakening,87
Transistor,87
Vindictus,87
Spooky's House of Jump Scares,87
Duke Nukem Forever,87
Dragon Age Origins,86
Far Cry,86
